bout_lengths,d1,d2,d3
5,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
12,Iso,M,SIP-S2-8
17,Iso,M,SIP-S2-8
13,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
18,Iso,M,SIP-S2-8
15,Iso,M,SIP-S2-8
55,Iso,M,SIP-S2-8
62,Iso,M,SIP-S2-8
23,Iso,M,SIP-S2-8
73,Iso,M,SIP-S2-8
10,Iso,M,SIP-S2-8
24,Iso,M,SIP-S2-8
12,Iso,M,SIP-S2-8
79,Iso,M,SIP-S2-8
19,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
28,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
14,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
16,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
28,Iso,M,SIP-S2-8
16,Iso,M,SIP-S2-8
83,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
56,Iso,M,SIP-S2-8
45,Iso,M,SIP-S2-8
19,Iso,M,SIP-S2-8
81,Iso,M,SIP-S2-8
17,Iso,M,SIP-S2-8
36,Iso,M,SIP-S2-8
14,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
28,Iso,M,SIP-S2-8
12,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
32,Iso,M,SIP-S2-8
115,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
8,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
26,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
63,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
46,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
59,Iso,M,SIP-S2-8
7,Iso,M,SIP-S2-8
18,Iso,M,SIP-S2-8
11,Iso,M,SIP-S2-8
5,Iso,M,SIP-S2-8
6,Iso,M,SIP-S2-8
13,Iso,M,SIP-S2-8
