file,region_id,status,start_datetime,stop_datetime,Sex,Genotype,Temperature,Treatment,Environment,Light,monitor
Monitor22.txt,1,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,2,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,3,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,4,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,5,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,6,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,7,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,8,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,9,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,10,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,11,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,12,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,13,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,14,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,15,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,16,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,17,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,18,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,19,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,20,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,21,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,22,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,23,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,24,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,25,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,26,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,27,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,28,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,29,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,30,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,31,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor22.txt,32,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Iso,2D,12:12,M22
Monitor7.txt,1,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,2,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,3,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,4,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,5,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,6,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,7,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,8,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,9,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,10,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,11,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,12,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,13,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,14,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,15,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,16,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,17,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,18,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,19,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,20,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,21,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,22,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,23,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,24,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,25,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,26,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,27,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,28,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,29,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,30,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,31,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor7.txt,32,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-L2-2,21.5C,Grp,2D,12:12,M7
Monitor14.txt,1,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-8,21.5C,Iso,2D,12:12,M14
Monitor14.txt,2,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-8,21.5C,Iso,2D,12:12,M14
Monitor14.txt,3,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-8,21.5C,Iso,2D,12:12,M14
Monitor14.txt,4,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-8,21.5C,Iso,2D,12:12,M14
Monitor14.txt,5,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-8,21.5C,Iso,2D,12:12,M14
Monitor14.txt,6,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-8,21.5C,Iso,2D,12:12,M14
Monitor14.txt,7,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-8,21.5C,Iso,2D,12:12,M14
Monitor14.txt,8,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-8,21.5C,Iso,2D,12:12,M14
Monitor14.txt,9,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-8,21.5C,Iso,2D,12:12,M14
Monitor14.txt,10,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-8,21.5C,Iso,2D,12:12,M14
Monitor14.txt,11,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-8,21.5C,Iso,2D,12:12,M14
Monitor14.txt,12,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-8,21.5C,Iso,2D,12:12,M14
Monitor14.txt,13,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-8,21.5C,Iso,2D,12:12,M14
Monitor14.txt,14,OK,2019-08-17 10:00:00,2019-08-19 10:20:00,M,SIP-S2-8,21.5C,Iso,2D,12:12,M14
