Sex,Genotype,Temperature,Treatment,Environment,Light,Batch,N,Sleep_Time_All_mean,Sleep_Time_All_sd,Sleep_Time_All_se,Sleep_Time_All_ci,Sleep_Time_L_mean,Sleep_Time_L_sd,Sleep_Time_L_se,Sleep_Time_L_ci,Sleep_Time_D_mean,Sleep_Time_D_sd,Sleep_Time_D_se,Sleep_Time_D_ci,n_Bouts_L_mean,n_Bouts_L_sd,n_Bouts_L_se,n_Bouts_L_ci,mean_Bout_Length_L_mean,mean_Bout_Length_L_sd,mean_Bout_Length_L_se,mean_Bout_Length_L_ci,n_Bouts_D_mean,n_Bouts_D_sd,n_Bouts_D_se,n_Bouts_D_ci,mean_Bout_Length_D_mean,mean_Bout_Length_D_sd,mean_Bout_Length_D_se,mean_Bout_Length_D_ci
M,CS,21.5C,Grp,2D,12:12,Batch9_2Days,31,972.033456125225,82.3606178508003,14.7924036442048,30.2101185250495,391.357256385575,62.9520460876636,11.3065212507783,23.0909969270491,580.741935483871,43.8019921479495,7.8670700291069,16.066700432238,45.2903225806452,5.88327317280155,1.05666705510705,2.15800202212606,16.6120455045044,2.23805075906044,0.401965782532304,0.820923646041298,20.4193548387097,6.69713467859396,1.20284089666286,2.45652883256723,36.3735250314621,13.1572227902505,2.36310697307651,4.82610828240755
M,CS,21.5C,Iso,2D,12:12,Batch9_2Days,30,929.194029850746,113.747774254011,20.7674072749757,42.4741169490226,372.957668285913,73.818226556969,13.4773026134263,27.564178800972,556.3,57.3479398661936,10.470253430388,21.4140726764712,44.2833333333333,5.99091745511679,1.09378687677297,2.23704534255183,17.4846154071639,2.54639352827227,0.464905725239965,0.950838970057978,21.2333333333333,7.83970149560746,1.4313271177504,2.92739264881148,37.7182420980863,22.7407740049187,4.15187829920702,8.49154456806572
M,SIP-L2-1,21.5C,Grp,2D,12:12,Batch9_2Days,29,1189.58694897605,103.946048945708,19.3022967111417,39.5389624361535,529.8044940056,84.2377770780604,15.6425625017935,32.0423367446524,659.827586206897,41.8093623875231,7.76380368751802,15.9034309210082,27.4310344827586,5.88994927508329,1.09373612248227,2.24041688453213,27.6787176986029,8.26400745820983,1.53458765964995,3.14346032173782,13.9655172413793,7.98987197564467,1.48368197850869,3.03918476093009,90.64127799638,105.248063514199,19.544074746749,40.0342222910207
M,SIP-L2-1,21.5C,Iso,2D,12:12,Batch9_2Days,32,1121.65741062131,175.007301415284,30.9372123969764,63.096860677655,499.340735600278,122.309438024562,21.6214582575709,44.0972548470146,622.359375,75.9379239666912,13.4240552465189,27.3785411804436,28.609375,9.34183650436003,1.65141898524225,3.36809122603588,27.2229056412214,7.8120091590853,1.38098116277016,2.81652965068989,18.109375,10.7010207344003,1.89169108172807,3.85812939761257,59.6346160304805,49.0727002262654,8.67490977528172,17.6925951329627
M,SIP-L2-2,21.5C,Grp,2D,12:12,Batch9_2Days,32,1031.70426935092,142.034866266436,25.1084542754803,51.2090301130715,435.197779319917,102.490609076582,18.1179511714977,36.9518050354231,596.5625,60.4101238578115,10.6791020580444,21.7801722428212,33.171875,7.45806488674098,1.31841206398596,2.6889191323906,22.8291833704392,5.4668365217065,0.966409294034237,1.97100474990529,24.703125,10.0657991486022,1.77939870900959,3.62910759352547,33.9715860514785,18.2101965940916,3.21913837460559,6.56547600081878
M,SIP-L2-2,21.5C,Iso,2D,12:12,Batch9_2Days,31,1010.61683331281,142.67991896695,25.6260699392147,52.3354168001074,440.919612276421,104.421809956064,18.7547107153414,38.3022291198393,569.741935483871,68.1038264915834,12.2318083261999,24.9806852353542,36.8548387096774,7.22287286840342,1.2972662630306,2.64937115747622,20.1683227125431,4.2107915708919,0.756280491861837,1.54453081776738,27.6451612903226,10.4108865683853,1.86985042648133,3.81874402340595,30.2103615753441,19.012405813511,3.41472888839126,6.97380675449761
M,SIP-S2-1,21.5C,Grp,2D,12:12,Batch9_2Days,15,629.281499479347,335.62847612597,86.6588999032569,185.864854902107,356.35253296322,161.032760717061,41.5784800300655,89.1769704723407,272.9,200.201791058065,51.6918801765855,110.868056476183,29.5333333333333,7.63793789174115,1.97210708360534,4.22974902006513,32.4978125694348,11.5199601774014,2.97444092773656,6.37954130580725,13.7,8.53940446233978,2.20486475127808,4.72896456720044,53.2939561621175,26.9323321142518,6.95389825020162,14.9146283961674
M,SIP-S2-1,21.5C,Iso,2D,12:12,Batch9_2Days,27,502.418141848895,272.10644964683,52.3669106506102,107.64172645311,321.110340041638,150.730118762879,29.0080248809108,59.626849099597,181.259259259259,161.213568953779,31.0255658108282,63.7739638747091,33.3518518518519,9.12816311331923,1.75671581022722,3.61098106325142,30.0105159667593,10.9827314304139,2.11362764926228,4.34462385538815,14.6851851851852,12.197216066467,2.34735532644624,4.8250579764654,51.6976700740962,31.0665694916112,5.97876408625997,12.2895255860081
M,SIP-S2-10,21.5C,Grp,2D,12:12,Batch9_2Days,32,628.438042346408,236.796829188836,41.8601609207246,85.3743610661354,335.329632199861,105.039802379999,18.5685891393481,37.8708872303107,293.09375,163.200175793509,28.8499877486067,58.8399379416551,31.078125,9.50645737669079,1.68052011902973,3.42744337970083,33.3211543857954,20.1475217231308,3.56161230863226,7.26395619430645,17.59375,11.2883307574824,1.99551380672312,4.06987724128148,53.6428215439165,54.2667857018789,9.59310304074894,19.5652626442737
M,SIP-S2-10,21.5C,Iso,2D,12:12,Batch9_2Days,31,575.300242971191,238.180842879224,42.7785422223149,87.3654385013533,245.571399789573,128.178472722278,23.0215333066154,47.0162433739222,329.758064516129,130.796462169774,23.4917380920358,47.9765296560074,26.3870967741936,7.36286818821234,1.32241016472721,2.70072185535516,36.9350111353418,20.6380707851497,3.70670693661677,7.57010548023317,16.7258064516129,8.26825123557719,1.4850217603991,3.03281903827105,42.0069145499883,17.1478866680252,3.07985136413158,6.28989561046771
