bout_lengths,d1,d2,d3
75,Grp,M,SIP-S2-8
18,Grp,M,SIP-S2-8
13,Grp,M,SIP-S2-8
26,Grp,M,SIP-S2-8
13,Grp,M,SIP-S2-8
49,Grp,M,SIP-S2-8
12,Grp,M,SIP-S2-8
28,Grp,M,SIP-S2-8
10,Grp,M,SIP-S2-8
29,Grp,M,SIP-S2-8
9,Grp,M,SIP-S2-8
25,Grp,M,SIP-S2-8
7,Grp,M,SIP-S2-8
28,Grp,M,SIP-S2-8
8,Grp,M,SIP-S2-8
7,Grp,M,SIP-S2-8
10,Grp,M,SIP-S2-8
11,Grp,M,SIP-S2-8
22,Grp,M,SIP-S2-8
16,Grp,M,SIP-S2-8
12,Grp,M,SIP-S2-8
16,Grp,M,SIP-S2-8
26,Grp,M,SIP-S2-8
5,Grp,M,SIP-S2-8
13,Grp,M,SIP-S2-8
11,Grp,M,SIP-S2-8
14,Grp,M,SIP-S2-8
12,Grp,M,SIP-S2-8
9,Grp,M,SIP-S2-8
18,Grp,M,SIP-S2-8
6,Grp,M,SIP-S2-8
23,Grp,M,SIP-S2-8
9,Grp,M,SIP-S2-8
6,Grp,M,SIP-S2-8
6,Grp,M,SIP-S2-8
20,Grp,M,SIP-S2-8
5,Grp,M,SIP-S2-8
245,Grp,M,SIP-S2-8
66,Grp,M,SIP-S2-8
5,Grp,M,SIP-S2-8
11,Grp,M,SIP-S2-8
29,Grp,M,SIP-S2-8
18,Grp,M,SIP-S2-8
43,Grp,M,SIP-S2-8
23,Grp,M,SIP-S2-8
6,Grp,M,SIP-S2-8
7,Grp,M,SIP-S2-8
8,Grp,M,SIP-S2-8
30,Grp,M,SIP-S2-8
5,Grp,M,SIP-S2-8
34,Grp,M,SIP-S2-8
10,Grp,M,SIP-S2-8
47,Grp,M,SIP-S2-8
17,Grp,M,SIP-S2-8
8,Grp,M,SIP-S2-8
10,Grp,M,SIP-S2-8
9,Grp,M,SIP-S2-8
16,Grp,M,SIP-S2-8
5,Grp,M,SIP-S2-8
7,Grp,M,SIP-S2-8
30,Grp,M,SIP-S2-8
20,Grp,M,SIP-S2-8
25,Grp,M,SIP-S2-8
8,Grp,M,SIP-S2-8
9,Grp,M,SIP-S2-8
23,Grp,M,SIP-S2-8
11,Grp,M,SIP-S2-8
6,Grp,M,SIP-S2-8
9,Grp,M,SIP-S2-8
7,Grp,M,SIP-S2-8
16,Grp,M,SIP-S2-8
9,Grp,M,SIP-S2-8
5,Grp,M,SIP-S2-8
254,Grp,M,SIP-S2-8
6,Grp,M,SIP-S2-8
5,Grp,M,SIP-S2-8
34,Grp,M,SIP-S2-8
41,Grp,M,SIP-S2-8
53,Grp,M,SIP-S2-8
12,Grp,M,SIP-S2-8
92,Grp,M,SIP-S2-8
13,Grp,M,SIP-S2-8
19,Grp,M,SIP-S2-8
17,Grp,M,SIP-S2-8
32,Grp,M,SIP-S2-8
12,Grp,M,SIP-S2-8
18,Grp,M,SIP-S2-8
