"id","region_id","experiment_id","start_datetime","stop_datetime","monitor","status","Sex","Genotype","Temperature","Treatment","Environment","Light"
"2019-08-20 10:01:00|Monitor14.txt|01",1,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|02",2,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|03",3,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|04",4,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|05",5,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|06",6,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|07",7,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|08",8,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|09",9,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|10",10,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|11",11,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|12",12,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|13",13,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|14",14,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|15",15,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|16",16,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|17",17,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
"2019-08-20 10:01:00|Monitor14.txt|18",18,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","""12:12"""
