"id","region_id","experiment_id","start_datetime","stop_datetime","monitor","status","Sex","Genotype","Temperature","Treatment","Environment","Light","Batch","Sleep_Fraction_All","Sleep_Time_All","Sleep_Fraction_L","Sleep_Time_L","Sleep_Fraction_D","Sleep_Time_D","Day1_latency","Day1_first_bout_length","Day1_latency_to_longest_bout","Day1_Sleep_Fraction_All","Day1_Sleep_Time_All","Day1_Sleep_Fraction_L","Day1_Sleep_Time_L","Day1_Sleep_Fraction_D","Day1_Sleep_Time_D","Day2_latency","Day2_first_bout_length","Day2_latency_to_longest_bout","Day2_Sleep_Fraction_All","Day2_Sleep_Time_All","Day2_Sleep_Fraction_L","Day2_Sleep_Time_L","Day2_Sleep_Fraction_D","Day2_Sleep_Time_D","n_Bouts_L","mean_Bout_Length_L","n_Bouts_D","mean_Bout_Length_D"
"2019-08-20 10:01:00|Monitor14.txt|01",1,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.458521346754599,660.270739326623,0.501734906315059,361.249132546843,0.415277777777778,299,4500,1080,8700,0.435114503816794,626.564885496183,0.488210818307906,351.511789181692,0.381944444444444,275,4080,300,18240,0.482303955586398,694.517696044414,0.515950069348128,371.484049930652,0.448611111111111,323,37,23.2162162162162,39,13.9871794871795
"2019-08-20 10:01:00|Monitor14.txt|02",2,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.279416869142659,402.360291565429,0.331020124913255,238.334489937543,0.227777777777778,164,0,360,2760,0.289382373351839,416.710617626648,0.306518723994452,220.693481276006,0.272222222222222,196,60,300,23400,0.269257460097155,387.730742539903,0.355062413314841,255.644937586685,0.183333333333333,132,38.5,21.2857142857143,34,17.8382352941177
"2019-08-20 10:01:00|Monitor14.txt|03",3,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.334606039569594,481.832696980215,0.365718251214434,263.317140874393,0.303472222222222,218.5,1320,300,21960,0.309507286606523,445.690492713393,0.295423023578363,212.704576976422,0.323611111111111,233,4140,360,18000,0.359472588480222,517.64052741152,0.435506241331484,313.564493758669,0.283333333333333,204,35,24.7285714285714,29,19.7068965517241
"2019-08-20 10:01:00|Monitor14.txt|04",4,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.170426935091982,245.414786532454,0.323386537126995,232.838306731437,0.0173611111111111,12.5,7320,900,23340,0.181818181818182,261.818181818182,0.32871012482663,236.671289875173,0.0347222222222222,25,8340,1200,19380,0.158917418459403,228.841082581541,0.317614424410541,228.682385575589,0,0,23.5,47.5957446808511,3,104.5
"2019-08-20 10:01:00|Monitor14.txt|05",5,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.490801804928844,706.754599097536,0.732130464954892,527.133934767523,0.249305555555556,179.5,1980,600,32160,0.458709229701596,660.541290770298,0.690707350901526,497.309292649099,0.226388888888889,163,600,300,13080,0.523247744621791,753.476752255378,0.773925104022191,557.226074895978,0.272222222222222,196,33.5,25.5820895522388,33.5,16.7313432835821
"2019-08-20 10:01:00|Monitor14.txt|06",6,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.392224921902117,564.803887539049,0.452463566967384,325.773768216516,0.331944444444444,239,4500,1200,14040,0.419847328244275,604.580152671756,0.495145631067961,356.504854368932,0.344444444444444,248,6180,1500,12000,0.364330326162387,524.635669673838,0.409153952843273,294.590846047157,0.319444444444444,230,29.5,30.4406779661017,21.5,24.4186046511628
"2019-08-20 10:01:00|Monitor14.txt|07",7,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.584866365845193,842.207566817078,0.625260235947259,450.187369882026,0.544444444444444,392,0,300,26580,0.556557945870923,801.443442054129,0.600554785020804,432.399445214979,0.5125,369,3000,300,25560,0.613462873004858,883.386537126995,0.650485436893204,468.349514563107,0.576388888888889,415,38.5,22.025974025974,24,23.7291666666667
"2019-08-20 10:01:00|Monitor14.txt|08",8,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.412356820548421,593.793821589726,0.489243580846634,352.255378209577,0.335416666666667,241.5,1800,360,24300,0.454545454545455,654.545454545455,0.490984743411928,353.509015256588,0.418055555555556,301,1080,1080,10680,0.369882026370576,532.63011797363,0.486823855755895,350.513176144244,0.252777777777778,182,39,22.6538461538462,22.5,24.0888888888889
"2019-08-20 10:01:00|Monitor14.txt|09",9,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.453314821242624,652.773342589379,0.436502428868841,314.281748785566,0.470138888888889,338.5,5400,360,19800,0.45176960444136,650.548230395559,0.409153952843273,294.590846047157,0.494444444444445,356,5940,1020,27000,0.455239417071478,655.544760582929,0.464632454923717,334.535367545076,0.445833333333333,321,38.5,21.4025974025974,35,17.1
"2019-08-20 10:01:00|Monitor14.txt|10",10,"2019-08-20 10:01:00|Monitor14.txt",2019-08-20T10:01:00Z,2019-08-23T10:20:00Z,"M14","OK","M","SIP-S2-8","21.5C","Grp","5D","12:12","Batch9_5Days",0.607427976397084,874.696286011802,0.640527411519778,461.17973629424,0.574305555555556,413.5,3060,300,12660,0.608605135322693,876.391394864677,0.615811373092926,443.384188626907,0.601388888888889,433,60,300,14460,0.605829285218598,872.394170714781,0.664355062413315,478.335644937587,0.547222222222222,394,36,23.2361111111111,26.5,20.9056603773585
