"","Sleep_Time_All","Sleep_Time_L","Sleep_Time_D","n_Bouts_L","n_Bouts_D","mean_Bout_Length_L","mean_Bout_Length_D"
"SIP-L2-5_2D",0.645816364940129,0.534568199487205,0.910144411012814,0.0449323424458601,0.456521524959974,0.201635629103473,0.256466818934896
"CS_2D",8.21098453738564e-10,5.34960238260864e-10,0.000146242595233448,0.00043050294665241,0.105114214733595,0.0157992477365865,0.251659018470404
"SIP-L2-3_2D",0.685524437273735,0.806463151314625,0.680584630017921,0.171714063977658,0.510187702403373,0.30783603748471,0.608663018212594
"SIP-L2-4_2D",0.50297819445427,0.341179966537689,0.916045272733144,0.671499953305139,0.574980758867391,0.80542666658847,0.323044029566651
"SIP-L2-5_5D",0.889410280422516,0.976009426428529,0.771055445439939,0.268021818445368,0.416797030749907,0.240033767887106,0.258130399744892
"SIP-L2-3_5D",0.100430080408607,0.00537681769489141,0.63570495366329,0.0944562228592632,0.831977131088345,0.212425702108096,0.417051759613027
"CS_5D",2.1820966439758e-31,1.60815605153548e-47,0.0835769121012065,0.362754583268224,0.384238625385453,0.680428680549921,0.257644148988683
"SIP-L2-4_5D",0.182248436549578,0.016955910289266,0.548515672765771,0.549669665632396,0.69354803207809,0.616814775038926,0.972217531208252
"SIP-S2-2_2D",0.1249330625294,0.678042576743056,0.0317939926253472,0.634893398369575,0.298520568652488,0.57271020597376,0.749783992111964
"SIP-S2-3_2D",0.69354071687565,0.428665832374482,0.95972373102841,0.0125208934786799,0.165616434310099,0.0265262643186482,0.67385410182878
"SIP-S2-5_2D",0.651242284609141,0.850956679377164,0.322625583496277,0.720459218246427,0.618194776230736,0.58430662675861,0.388462612315188
"SIP-S2-4_2D",0.260948797776449,0.448659557618395,0.24287060270029,0.596923327758569,0.42153107464134,0.438970998728867,0.648517101404633
"SIP-S2-5_5D",0.712330767268715,0.539845126200497,0.93177815235561,0.646366716340886,0.53274898909008,0.294378709099568,0.764813652206815
"SIP-S2-3_5D",0.0392942238892676,0.00203423175290143,0.360588751415945,0.0343205150983919,0.605477951230701,0.220632401717114,0.441926621733743
"SIP-S2-4_5D",0.699400377456435,0.570976155643226,0.256542475715756,0.126218728581221,0.838115740849602,0.142483664820557,0.811340165970603
"SIP-S2-2_5D",0.342320465580852,0.492811378566737,0.0386818498374871,0.34347214600182,0.185028752143646,0.996120393404385,0.813083687432387
"SIP-L1-2_2D",0.0503734822830249,0.0270195633043365,0.662192059989667,0.71544870946486,0.317524475993814,0.921707602424694,0.518568770500223
"SIP-L1-5_2D",0.208197307618154,0.0298845021315677,0.608117243188373,0.120198549320209,0.475178741194272,0.159215355957169,0.541292298688875
"SIP-L1-1_2D",0.34119385057156,0.875032883541757,0.0740567636196407,0.261742209826332,0.548312846145991,0.161066089977319,0.430653810978561
"SIP-L1-4_2D",0.284640565274857,0.337418651500721,0.313532406125895,0.272636656443193,0.0697193499285749,0.35175655940816,0.828273730048958
"SIP-L1-3_2D",0.024950582619798,0.334008585689958,0.00244937195021489,0.24428367055211,0.00351611371100123,0.0747965034169049,0.00769864214948664
"SIP-L1-5_5D",4.268799575064e-05,8.55482513865151e-05,0.00289577958312568,0.0852446231206812,0.0992823120550082,0.0657251502656126,0.14976371904941
